Title,Price,Link
Smart Android ტელევიზორი UDTV 32W5210 32 inch (81 სმ),"
      379 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_bc784b71-903a-4bea-be9a-45c1ceee227c_50x50.jpg?v=1661008551
Smart Android 4K ტელევიზორი UDTV 43U6210 43 inch (109 სმ),"
      679 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_9e7a88b6-1250-49bb-9c37-76b2b52a2d7e_50x50.jpg?v=1667039995
Smart Android ტელევიზორი UDTV 40F5210 40 inch (101 სმ),"
      549 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_46c53035-1233-4c00-867c-7b3579989198_50x50.jpg?v=1661009196
ტელევიზორი ColorView 32GF 32 inch (81 სმ),"
      329 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_e2c8afb7-abbb-4e7c-96fa-a32947323297_50x50.jpg?v=1686577881
Smart Android 4K ტელევიზორი UDTV 50U6210 50 inch (127 სმ),899 ლარი,//isurve.ge/cdn/shop/products/1-min_47a9380c-6d3a-4afe-ba66-6f9a50211051_50x50.jpg?v=1667311570
Smart Android ტელევიზორი TCL 32S5400AF 32 inch (81 სმ),"
      419 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_931d4ca9-20f7-43b7-b053-8a355cf797ca_50x50.jpg?v=1701348467
Smart Android ტელევიზორი HAIER LE32K6600SG 32 inch (81 სმ),"
      419 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_21ac05a0-ccf0-4bc2-aa81-0f4f3a860030_50x50.jpg?v=1696487781
Smart 4k ტელევიზორი Samsung UE43CU7100UXRU 43 inch (109სმ),"1,249 ლარი",//isurve.ge/cdn/shop/files/1-min_a1f8229a-3e16-4a02-b842-c7287b1f6ea3_50x50.jpg?v=1686590622
ტელევიზორი Franko 32 inch (81 სმ) FTV-32N4000,"
      299 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_2e29cb3a-7420-415d-8200-55546d95e638_50x50.jpg?v=1663081092
Smart Android 4K ტელევიზორი HAIER LE43K6600U 43 inch (109 სმ),"
      709 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_474f1686-a48a-4bfc-9188-5a461dd7498e_50x50.jpg?v=1696487559
Smart Android 4K ტელევიზორი UDTV 55U6210 55 inch (140 სმ),999 ლარი,//isurve.ge/cdn/shop/files/1-min_11c8af86-e381-4347-a4df-c76dc3ad6fdb_50x50.jpg?v=1683903401
Smart Android ტელევიზორი Franko 32 inch (81 სმ) FTV-32SH1300,"
      399 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_44f26356-8e1f-4dde-89b3-7dad9a493ec4_50x50.jpg?v=1714203444
Smart 4K Android ტელევიზორი TCL 50P635/R51APSD-EU 50 inch (127 სმ),999 ლარი,//isurve.ge/cdn/shop/files/1-min_306b6e25-0c44-473f-ad45-ce1b1296f0c4_50x50.jpg?v=1686587053
Smart 4K Android ტელევიზორი Franko 50 inch (128 სმ) FTV-50SU1100,"
      799 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_81eb3610-bb9c-484c-afd9-227f9f6f8437_50x50.jpg?v=1663083560
ტელევიზორი VOX 24DSQD1B 24 inch (61სმ),"
      319 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_4f035223-b019-44fa-ba5b-223cccb08e93_50x50.jpg?v=1657552817
